frames_mean,frames_median,frames_std,frames_min,frames_max,fitness_mean,fitness_median,fitness_std,fitness_min,fitness_max,wins_mean,wins_median,wins_std,wins_min,wins_max
311.9,321.0,43.973742165069375,230.0,373.0,77.55,78.75,32.4610920949989,30.0,128.0,0.0,0.0,0.0,0.0,0.0
359.03333333333336,332.0,98.71591676230446,245.0,693.0,153.83333333333334,93.25,229.78879191311506,25.5,1275.0,1.0,1.0,0.0,1.0,1.0
337.73333333333335,319.5,78.74343711630125,237.0,522.0,105.18333333333334,72.25,76.78145211500554,3.0,335.5,0.0,0.0,0.0,0.0,0.0
358.3666666666667,334.5,112.92223971486848,240.0,845.0,125.16666666666667,85.75,118.6719802181159,-1.5,645.0,0.0,0.0,0.0,0.0,0.0
332.1333333333333,309.0,84.5066992742127,238.0,571.0,134.21666666666667,87.5,169.2805700276582,18.5,938.0,1.0,1.0,0.0,1.0,1.0
318.6,303.0,66.58958877582391,229.0,523.0,80.75,66.75,64.43753435175289,-8.0,299.0,0.0,0.0,0.0,0.0,0.0
324.46666666666664,297.5,59.32325757145244,241.0,462.0,110.33333333333333,75.25,110.67387024747782,18.5,602.5,1.0,1.0,0.0,1.0,1.0
359.06666666666666,332.0,83.58785132355592,238.0,581.0,190.96666666666667,118.5,240.04763184742222,29.5,1049.0,2.0,2.0,0.0,2.0,2.0
340.23333333333335,329.5,65.23326520180397,248.0,471.0,127.86666666666666,87.5,126.65194651309373,-3.5,610.0,1.0,1.0,0.0,1.0,1.0
333.8,324.5,59.79542903377593,238.0,460.0,149.86666666666667,91.0,212.01289006934357,-24.0,913.5,2.0,2.0,0.0,2.0,2.0
340.03333333333336,321.5,79.95185356756207,201.0,553.0,153.45,84.75,231.83263898769732,-47.0,973.5,2.0,2.0,0.0,2.0,2.0
333.1,317.5,75.12050319320284,237.0,556.0,151.56666666666666,89.0,211.47063363240036,13.0,897.0,2.0,2.0,0.0,2.0,2.0
104.66666666666667,0.0,150.75439923560734,0.0,443.0,60.25,0.0,191.52044059751603,0.0,1056.5,1.0,1.0,0.0,1.0,1.0
401.8333333333333,336.0,260.1732862706871,243.0,1727.0,165.33333333333334,96.0,266.4243273843855,23.5,1527.0,0.0,0.0,0.0,0.0,0.0
397.6666666666667,351.0,120.68784344562444,278.0,787.0,229.26666666666668,115.0,286.9317495309449,-9.5,1365.0,3.0,3.0,0.0,3.0,3.0
